id,name,type,kind,properties_json
/subscriptions/a520c179-1e36-47f9-be0a-84f4e48b3091/resourceGroups/loganalytics/providers/Microsoft.OperationalInsights/workspaces/KramitSentinal/providers/Microsoft.SecurityInsights/dataConnectors/d1be6296-52d2-45b7-b5db-2001b43456a3,d1be6296-52d2-45b7-b5db-2001b43456a3,Microsoft.SecurityInsights/dataConnectors,AzureSecurityCenter,"{""subscriptionId"": ""a520c179-1e36-47f9-be0a-84f4e48b3091"", ""dataTypes"": {""alerts"": {""state"": ""enabled""}}}"
/subscriptions/a520c179-1e36-47f9-be0a-84f4e48b3091/resourceGroups/loganalytics/providers/Microsoft.OperationalInsights/workspaces/KramitSentinal/providers/Microsoft.SecurityInsights/dataConnectors/5f6094aa-48a2-4335-bc23-f3f99c8491b5,5f6094aa-48a2-4335-bc23-f3f99c8491b5,Microsoft.SecurityInsights/dataConnectors,AzureActiveDirectory,"{""dataTypes"": {""alerts"": {""state"": ""enabled""}}, ""tenantId"": ""2bf0f2d8-74f9-4288-b5d9-266cd13cc4ce""}"
/subscriptions/a520c179-1e36-47f9-be0a-84f4e48b3091/resourceGroups/loganalytics/providers/Microsoft.OperationalInsights/workspaces/KramitSentinal/providers/Microsoft.SecurityInsights/dataConnectors/5819c08a-406a-43f0-bb34-5f4be081598f,5819c08a-406a-43f0-bb34-5f4be081598f,Microsoft.SecurityInsights/dataConnectors,MicrosoftDefenderAdvancedThreatProtection,"{""dataTypes"": {""alerts"": {""state"": ""enabled""}}, ""tenantId"": ""2bf0f2d8-74f9-4288-b5d9-266cd13cc4ce""}"
